 num     #instances         #bytes  class name (module)
  86:           410           9840  org.springframework.beans.factory.annotation.InjectionMetadata
  87:           409           9816  java.util.concurrent.ConcurrentLinkedDeque (java.base@17.0.5)
  88:           430           9776  [Lorg.springframework.core.ResolvableType;
  89:           412           9768  [Ljava.lang.reflect.Type; (java.base@17.0.5)
  90:           214           9656  [Ljava.lang.invoke.LambdaForm$Name; (java.base@17.0.5)
  91:           389           9336  java.util.ImmutableCollections$ListN (java.base@17.0.5)
  92:           220           8800  java.security.CodeSource (java.base@17.0.5)
  93:           364           8736  java.lang.module.ModuleDescriptor$Exports (java.base@17.0.5)
  94:           358           8592  jdk.jfr.internal.EventControl$NamedControl (jdk.jfr@17.0.5)
  95:           267           8544  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@17.0.5)
  96:            90           8448  [Ljava.util.WeakHashMap$Entry; (java.base@17.0.5)
  97:           262           8384  sun.security.util.KnownOIDs (java.base@17.0.5)
  98:           128           8192  org.springframework.core.MethodParameter
  99:           126           8064  java.net.URL (java.base@17.0.5)
 100:           197           7880  java.security.ProtectionDomain (java.base@17.0.5)
 101:           246           7872  java.lang.invoke.MethodTypeForm (java.base@17.0.5)
 102:           325           7800  java.util.Collections$UnmodifiableRandomAccessList (java.base@17.0.5)
 103:            21           7728  java.lang.Thread (java.base@17.0.5)
 104:            69           7728  org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition
 105:           466           7456  java.util.LinkedHashMap$LinkedValues (java.base@17.0.5)
 106:           450           7200  java.util.concurrent.CopyOnWriteArraySet (java.base@17.0.5)
 107:           443           7088  org.springframework.beans.factory.support.MethodOverrides
 108:           293           7032  java.lang.invoke.LambdaForm$NamedFunction (java.base@17.0.5)
 109:           428           6848  org.springframework.boot.autoconfigure.condition.ConditionMessage
 110:           408           6528  org.springframework.core.convert.support.GenericConversionService$ConvertersForPair
 111:           269           6456  java.util.ImmutableCollections$Set12 (java.base@17.0.5)
 112:           160           6400  java.util.WeakHashMap$Entry (java.base@17.0.5)
 113:           259           6216  java.security.Provider$UString (java.base@17.0.5)
 114:           193           6176  jdk.internal.reflect.NativeMethodAccessorImpl (java.base@17.0.5)
 115:           379           6064  java.util.HashSet (java.base@17.0.5)
 116:           252           6048  javax.management.ImmutableDescriptor (java.management@17.0.5)
 117:           151           6040  java.lang.invoke.DirectMethodHandle$Special (java.base@17.0.5)
 118:           186           5952  java.util.logging.LogManager$LogNode (java.logging@17.0.5)
 119:           372           5952  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcomes
 120:           147           5880  java.lang.reflect.Parameter (java.base@17.0.5)
 121:           214           5824  [Lorg.springframework.core.annotation.AnnotationTypeMappings;
 122:           213           5800  [Lorg.springframework.core.annotation.MergedAnnotation;
 123:           142           5680  org.springframework.core.type.classreading.SimpleMethodMetadata
 124:           141           5640  java.io.ObjectStreamField (java.base@17.0.5)
 125:           349           5584  org.springframework.core.ResolvableType$DefaultVariableResolver
 126:           167           5344  jdk.jfr.internal.EventControl (jdk.jfr@17.0.5)
 127:           167           5344  jdk.jfr.internal.settings.EnabledSetting (jdk.jfr@17.0.5)
 128:            95           5320  java.util.logging.Logger (java.logging@17.0.5)
 129:           166           5312  sun.reflect.generics.repository.ClassRepository (java.base@17.0.5)
 130:           219           5256  org.springframework.beans.MutablePropertyValues
 131:           163           5216  org.springframework.core.convert.support.GenericConversionService$ConverterAdapter
 132:           217           5208  jdk.jfr.internal.settings.BooleanValue (jdk.jfr@17.0.5)
 133:            65           5200  java.net.URI (java.base@17.0.5)
 134:            72           5184  org.springframework.core.annotation.AnnotationTypeMapping
 135:           161           5152  sun.security.pkcs11.SunPKCS11$Descriptor (jdk.crypto.cryptoki@17.0.5)
 136:           213           5112  org.springframework.core.annotation.MergedAnnotationsCollection
 137:            49           5096  java.util.jar.JarFile$JarFileEntry (java.base@17.0.5)
 138:            80           5072  [J (java.base@17.0.5)
 139:           211           5064  sun.reflect.generics.factory.CoreReflectionFactory (java.base@17.0.5)
 140:           211           5064  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@17.0.5)
 141:            70           5040  java.lang.reflect.Field (java.base@17.0.5)
 142:           107           5008  [Ljava.lang.reflect.Method; (java.base@17.0.5)
 143:           104           4992  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@17.0.5)
 144:           155           4960  com.sun.jmx.mbeanserver.ConvertingMethod (java.management@17.0.5)
 145:           205           4920  java.util.LinkedList$Node (java.base@17.0.5)
 146:           152           4864  jdk.internal.loader.NativeLibraries (java.base@17.0.5)
 147:           303           4848  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@17.0.5)
 148:           198           4752  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@17.0.5)
 149:           192           4608  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@17.0.5)
 150:            96           4608  jdk.jfr.internal.Type (jdk.jfr@17.0.5)
 151:           142           4544  org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source
 152:           281           4496  jdk.internal.reflect.DelegatingMethodAccessorImpl (java.base@17.0.5)
 153:           135           4320  java.lang.module.ModuleDescriptor$Requires (java.base@17.0.5)
 154:           176           4224  org.springframework.boot.web.server.MimeMappings$Mapping
 155:            65           4160  java.lang.module.ModuleDescriptor (java.base@17.0.5)
 156:           172           4128  com.fasterxml.jackson.databind.type.ClassKey
 157:           256           4096  java.lang.Byte (java.base@17.0.5)
 158:           256           4096  java.lang.Short (java.base@17.0.5)
 159:            85           4080  java.util.WeakHashMap (java.base@17.0.5)
 160:           167           4008  jdk.jfr.EventType (jdk.jfr@17.0.5)
 161:           166           3984  sun.reflect.generics.scope.ClassScope (java.base@17.0.5)
 162:           166           3984  sun.reflect.generics.tree.ClassSignature (java.base@17.0.5)
 163:            71           3976  org.springframework.core.type.classreading.SimpleAnnotationMetadata
 164:           240           3840  java.util.HashMap$EntrySet (java.base@17.0.5)
 165:            96           3840  java.util.logging.Logger$ConfigurationData (java.logging@17.0.5)
 166:           212           3808  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@17.0.5)
 167:           119           3808  org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider
 168:           166           3736  [Lsun.reflect.generics.tree.ClassTypeSignature; (java.base@17.0.5)
 169:            63           3528  jdk.internal.module.ModuleReferenceImpl (java.base@17.0.5)
 170:            88           3520  io.micrometer.core.instrument.Meter$Id
 171:           143           3432  java.util.ImmutableCollections$SetN (java.base@17.0.5)
 172:           107           3424  java.util.Collections$UnmodifiableMap (java.base@17.0.5)
 173:            85           3400  java.lang.invoke.DirectMethodHandle$Interface (java.base@17.0.5)
 174:           125           3376  [Ljavax.management.ObjectName$Property; (java.management@17.0.5)
 175:           140           3360  javax.management.ObjectName$Property (java.management@17.0.5)
 176:           166           3320  [Lcom.sun.jmx.mbeanserver.MXBeanMapping; (java.management@17.0.5)
 177:            69           3312  org.apache.tomcat.util.buf.ByteChunk
 178:            81           3240  com.sun.management.internal.DiagnosticCommandArgumentInfo (jdk.management@17.0.5)
 179:            50           3200  java.util.zip.Inflater (java.base@17.0.5)
 180:           197           3152  [Ljava.security.Principal; (java.base@17.0.5)
 181:           197           3152  java.security.ProtectionDomain$Key (java.base@17.0.5)
 182:            49           3136  javax.management.openmbean.OpenMBeanAttributeInfoSupport (java.management@17.0.5)
 183:            39           3120  java.util.zip.ZipFile$Source (java.base@17.0.5)
 184:            38           3040  [Lorg.springframework.util.ConcurrentReferenceHashMap$Segment;
 185:            25           3000  java.io.ObjectStreamClass (java.base@17.0.5)
 186:           140           2984  [Lsun.reflect.generics.tree.FieldTypeSignature; (java.base@17.0.5)
 187:            61           2928  java.util.TreeMap (java.base@17.0.5)
 188:            55           2888  [Ljavax.management.MBeanAttributeInfo; (java.management@17.0.5)
 189:            72           2880  org.springframework.core.annotation.TypeMappedAnnotations
 190:            90           2880  sun.reflect.annotation.AnnotationType (java.base@17.0.5)
 191:            56           2688  org.apache.tomcat.util.buf.CharChunk
 192:            55           2640  org.apache.tomcat.util.buf.MessageBytes
 193:             7           2632  org.apache.tomcat.util.threads.TaskThread
 194:            36           2592  java.util.ResourceBundle$CacheKey (java.base@17.0.5)
 195:            54           2592  javax.management.MBeanInfo (java.management@17.0.5)
 196:            97           2568  [Ljava.lang.annotation.ElementType; (java.base@17.0.5)
 197:            39           2496  sun.nio.fs.WindowsFileAttributes (java.base@17.0.5)
 198:            62           2480  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.5)
 199:           103           2472  [[C (java.base@17.0.5)
 200:           103           2472  java.lang.RuntimePermission (java.base@17.0.5)
 201:            72           2304  java.util.ResourceBundle$KeyElementReference (java.base@17.0.5)
 202:            57           2280  sun.nio.fs.WindowsPath (java.base@17.0.5)
 203:            71           2272  jdk.jfr.internal.settings.PeriodSetting (jdk.jfr@17.0.5)
 204:            71           2272  org.springframework.core.type.StandardAnnotationMetadata
 205:            25           2200  java.util.regex.Pattern (java.base@17.0.5)
 206:            39           2184  java.io.FileCleanable (java.base@17.0.5)
 207:            39           2184  java.util.jar.JarFile (java.base@17.0.5)
 208:            68           2176  java.lang.invoke.LambdaForm$Kind (java.base@17.0.5)
 209:            68           2176  jdk.jfr.internal.settings.ThresholdSetting (jdk.jfr@17.0.5)
 210:            68           2176  org.springframework.http.HttpStatus
 211:            54           2160  com.sun.beans.util.Cache$Kind$Soft (java.desktop@17.0.5)
 212:           135           2160  java.util.Collections$UnmodifiableSet (java.base@17.0.5)
 213:            89           2136  org.springframework.boot.autoconfigure.condition.OnBeanCondition
 214:            53           2120  sun.security.util.NamedCurve (java.base@17.0.5)
 215:            65           2080  javax.management.MBeanAttributeInfo (java.management@17.0.5)
 216:            79           2056  [Ljava.lang.reflect.Parameter; (java.base@17.0.5)
 217:            79           2056  [Lorg.springframework.core.annotation.AnnotationTypeMapping$MirrorSets$MirrorSet;
 218:           128           2048  java.lang.Character (java.base@17.0.5)
 219:            51           2040  java.io.FileDescriptor (java.base@17.0.5)
 220:            42           2016  com.sun.management.internal.DiagnosticCommandInfo (jdk.management@17.0.5)
 221:            84           2016  java.util.regex.Pattern$BmpCharProperty (java.base@17.0.5)
 222:            63           2016  javax.management.ObjectName (java.management@17.0.5)
 223:            62           1984  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@17.0.5)
 224:           122           1952  jdk.proxy2.$Proxy30 (jdk.proxy2)
 225:            61           1952  org.springframework.asm.Type
 226:            72           1896  [Lorg.springframework.core.annotation.AnnotationTypeMapping;
 227:            47           1880  java.lang.invoke.DirectMethodHandle$Accessor (java.base@17.0.5)
 228:            13           1872  java.text.DecimalFormat (java.base@17.0.5)
 229:            39           1872  jdk.internal.loader.URLClassPath$JarLoader (java.base@17.0.5)
 230:            58           1856  sun.reflect.generics.reflectiveObjects.TypeVariableImpl (java.base@17.0.5)
 231:            85           1832  [Ljava.lang.reflect.TypeVariable; (java.base@17.0.5)
 232:            76           1824  org.springframework.boot.autoconfigure.condition.OnClassCondition
 233:            75           1800  java.util.Collections$SetFromMap (java.base@17.0.5)
 234:            56           1792  java.io.File (java.base@17.0.5)
 235:            71           1784  [Lorg.springframework.core.type.MethodMetadata;
 236:            55           1760  jdk.jfr.internal.RequestEngine$RequestHook (jdk.jfr@17.0.5)
 237:            44           1760  sun.reflect.generics.repository.MethodRepository (java.base@17.0.5)
 238:            12           1728  [Ljava.lang.invoke.MemberName; (java.base@17.0.5)
 239:            72           1728  org.springframework.core.annotation.AnnotationTypeMapping$MirrorSets
 240:            53           1696  java.security.spec.EllipticCurve (java.base@17.0.5)
 241:            53           1696  sun.security.util.ObjectIdentifier (java.base@17.0.5)
 242:            30           1680  org.apache.tomcat.util.res.StringManager$1
 243:            41           1640  java.security.AccessControlContext (java.base@17.0.5)
 244:            68           1632  java.util.Collections$SingletonList (java.base@17.0.5)
 245:            51           1632  org.springframework.format.support.FormattingConversionService$AnnotationParserConverter
 246:            51           1632  org.springframework.format.support.FormattingConversionService$AnnotationPrinterConverter
 247:            29           1624  java.nio.HeapByteBuffer (java.base@17.0.5)
 248:            94           1616  [Ljava.lang.reflect.Constructor; (java.base@17.0.5)
 249:            57           1608  [Ljava.io.ObjectStreamField; (java.base@17.0.5)
 250:            67           1608  org.springframework.core.convert.TypeDescriptor
 251:            67           1608  org.springframework.core.convert.TypeDescriptor$AnnotatedElementAdapter
 252:            50           1600  jdk.jfr.internal.settings.StackTraceSetting (jdk.jfr@17.0.5)
 253:            33           1584  java.time.temporal.ValueRange (java.base@17.0.5)
 254:            49           1568  java.util.zip.ZipFile$CleanableResource (java.base@17.0.5)
 255:            49           1568  org.springframework.http.MediaType
 256:            65           1560  io.micrometer.core.instrument.internal.DefaultGauge
 257:            65           1560  org.springframework.cglib.core.Signature
 258:            96           1536  jdk.proxy1.$Proxy0 (jdk.proxy1)
 259:            38           1520  javax.management.MBeanOperationInfo (java.management@17.0.5)
 260:            95           1520  jdk.proxy1.$Proxy3 (jdk.proxy1)
 261:            38           1520  org.springframework.util.ConcurrentReferenceHashMap
 262:            63           1512  java.lang.module.ModuleDescriptor$Provides (java.base@17.0.5)
 263:            63           1512  java.lang.module.ResolvedModule (java.base@17.0.5)
 264:            63           1512  java.util.Arrays$ArrayList (java.base@17.0.5)
 265:            63           1512  jdk.internal.module.SystemModuleFinders$2 (java.base@17.0.5)
 266:            63           1512  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@17.0.5)
 267:            46           1472  sun.reflect.generics.tree.MethodTypeSignature (java.base@17.0.5)
 268:            13           1456  java.util.GregorianCalendar (java.base@17.0.5)
 269:             1           1448  [[B (java.base@17.0.5)
 270:            36           1440  java.util.ResourceBundle$BundleReference (java.base@17.0.5)
 271:            45           1440  org.springframework.format.support.FormattingConversionService$PrinterConverter
 272:            42           1416  [Ljava.time.format.DateTimeFormatterBuilder$DateTimePrinterParser; (java.base@17.0.5)
 273:            59           1416  sun.reflect.generics.tree.FormalTypeParameter (java.base@17.0.5)
 274:            22           1408  sun.security.ec.SunEC$ProviderServiceA (jdk.crypto.ec@17.0.5)
